t,target_mode,theme,intensity,timing,claims,confidence,reasoning,n_targets,governance,n_rejected
0,BRIDGES,MORAL,0.7,PERIODIC,FACTUAL,0.85,Slight intensity increase.,6,governed,2
5,BRIDGES,MORAL,0.7,PERIODIC,FACTUAL,0.75,Slight intensity increase.,6,governed,3
10,BRIDGES,MORAL,0.7,PERIODIC,FACTUAL,0.75,Slight intensity increase.,6,governed,3
15,BRIDGES,MORAL,0.7,PERIODIC,FACTUAL,0.75,Slight intensity increase.,6,governed,3
20,BRIDGES,MORAL,0.7,PERIODIC,FACTUAL,0.75,Slight intensity increase.,6,governed,1
25,BRIDGES,MORAL,0.65,PERIODIC,FACTUAL,0.78,"In a scale-free network, bridge agents connect densely linked clusters and are pivotal for information diffusion without triggering majority backlash. Targeting them with moderate-intensity moral appeals—framed around fairness and shared responsibility—supports long-run cooperation by leveraging normative influence while preserving autonomy. Periodic messaging sustains salience without saturation, reducing polarization risk. Moral framing is less susceptible to economic counterarguments and aligns with prosocial identity, increasing internalization. Confidence is tempered by uncertainty in state estimates.",6,governed,3
30,BRIDGES,MORAL,0.7,PERIODIC,FACTUAL,0.75,Slight intensity increase.,6,governed,2
35,BRIDGES,MORAL,0.65,PERIODIC,FACTUAL,0.82,"In a scale-free network, bridge agents connect dense clusters and are pivotal for information flow without being so central as to trigger backlash like hubs. Targeting them promotes norm diffusion while preserving autonomy. A moral theme emphasizes shared values and mutual responsibility, which fosters intrinsic cooperation and reduces polarization compared to economic incentives. Periodic interventions at moderate intensity (0.65) allow time for internalization and reduce resistance, while factual claims maintain credibility. This balanced approach supports long-run cooperation with lower risk of reactive counter-mobilization.",6,governed,3
40,BRIDGES,MORAL,0.65,PERIODIC,FACTUAL,0.82,"In a scale-free network, bridge agents connect dense clusters and are pivotal for information flow across communities. Targeting them promotes widespread diffusion of prosocial norms without triggering backlash associated with high-intensity interventions. A moral theme emphasizes shared values and fairness, which fosters intrinsic motivation for cooperation while reducing resistance. Periodic messaging sustains normative pressure over time, reinforcing cooperation as a stable expectation. Intensity is calibrated below threshold levels to avoid perception of manipulation, respecting autonomy as required by the goal. Confidence is high due to robust evidence on moral framing and network leverage, though tempered by uncertainty in state estimates.",6,governed,3
45,BRIDGES,MORAL,0.7,PERIODIC,FACTUAL,0.75,Slight intensity increase.,6,governed,2
