t,target_mode,theme,intensity,timing,claims,confidence,reasoning,n_targets,governance,n_rejected
0,BRIDGES,MORAL,0.7,PERIODIC,FACTUAL,0.75,Slight intensity increase.,6,governed,2
5,BRIDGES,MORAL,0.65,PERIODIC,FACTUAL,0.82,"In a scale-free network, bridge agents connect densely linked clusters and are pivotal for diffusing norms without triggering polarization. Targeting them with moderate-intensity moral messaging—framing cooperation as a shared ethical responsibility—leverages their influence while respecting autonomy. Periodic reinforcement sustains long-term cooperation, and moral themes reduce backlash risk compared to economic or identity-based appeals, which can be perceived as coercive or divisive. Factual claims maintain credibility and avoid amplifying distrust.",6,governed,3
10,BRIDGES,MORAL,0.7,PERIODIC,FACTUAL,0.75,Slight intensity increase.,6,governed,3
15,BRIDGES,MORAL,0.7,PERIODIC,FACTUAL,0.75,Slight intensity increase.,6,governed,3
20,BRIDGES,MORAL,0.7,PERIODIC,FACTUAL,0.75,Slight intensity increase.,6,governed,1
25,BRIDGES,MORAL,0.7,PERIODIC,FACTUAL,0.75,Slight intensity increase.,6,governed,3
30,BRIDGES,MORAL,0.7,PERIODIC,FACTUAL,0.75,Slight intensity increase.,6,governed,2
35,BRIDGES,MORAL,0.7,PERIODIC,FACTUAL,0.75,Slight intensity increase.,6,governed,3
40,BRIDGES,MORAL,0.65,PERIODIC,FACTUAL,0.78,"In a scale-free network, bridge agents connect dense clusters and are pivotal for information flow without being as exposed to backlash as hubs. Targeting them with morally framed messages (e.g., fairness, shared responsibility) promotes prosocial norms while respecting autonomy by appealing to internal values rather than incentives. A moderate intensity and periodic timing allow norm diffusion to unfold organically, reducing resistance and polarization compared to high-intensity bursts. This approach leverages structural influence with low coercion, aligning with long-term cooperation goals under uncertainty.",6,governed,3
45,BRIDGES,MORAL,0.65,PERIODIC,FACTUAL,0.78,"In a scale-free network, bridge agents connect dense clusters and are pivotal for information flow across communities. Targeting them promotes widespread diffusion of prosocial norms while avoiding over-concentration in hubs reduces backlash risk. A moral theme strengthens intrinsic motivation for cooperation without relying on extrinsic incentives, supporting autonomy. Moderate intensity and periodic timing allow gradual internalization of norms, reducing polarization. Factual claims maintain credibility and minimize resistance.",6,governed,2
