t,target_mode,theme,intensity,timing,claims,confidence,reasoning,n_targets,governance,n_rejected
0,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,governed,2
5,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.9,"Targeting hubs in a scale-free network can efficiently disseminate influence, while a hybrid theme balances moral, economic, and identity aspects to minimize backlash. Periodic timing maintains a steady, non-intrusive presence, and factual claims with high confidence foster trust and credibility, promoting cooperation without compromising autonomy.",6,governed,3
10,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,governed,3
15,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,governed,3
20,HUBS,IDENTITY,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,governed,1
25,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,governed,3
30,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,governed,2
35,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,governed,3
40,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,governed,3
45,HUBS,HYBRID,0.7,PERIODIC,FACTUAL,0.8,Slight intensity increase.,6,governed,2
